Tweet_count,Username,Text,Created At,Retweets,Likes
46,Peter McCormack 🏴‍☠️🇬🇧🇮🇪,"Questions for @PeterSchiff, @nouriel, @paulkrugman, @nntaleb and @steve_hanke.

1. Without #bitcoin how would you get funds instantly to activists with no bank accounts in corrupt/authoritarian countries.
2. Without #bitcoin how would you provide instant and near free remittance?",Thu Jul 01 14:52:22 +0000 2021,95,997
34,Peter McCormack 🏴‍☠️🇬🇧🇮🇪,"Literally how fucking stupid are these people?

Network effects &gt; white paper promises",Mon Mar 01 09:00:38 +0000 2021,2,186
35,Peter McCormack 🏴‍☠️🇬🇧🇮🇪,"@kozeoverdose @IOHK_Charles It is a Bitcoin show, there is no reason to have him on. It wouldn't be ballsy, it would be stupid.",Mon Mar 01 07:22:23 +0000 2021,1,4
36,Peter McCormack 🏴‍☠️🇬🇧🇮🇪,"@Shaddowkhan @kozeoverdose @IOHK_Charles You either didn’t listen or you are already judging too subjectively. My show is a Bitcoin show, I outlined at the start where my bias is and I pushed back on Vitalik and Samson.",Mon Mar 01 08:55:16 +0000 2021,1,3
37,Peter McCormack 🏴‍☠️🇬🇧🇮🇪,"#bitcoin killed off the Dinosaurs. 
Thanks Bill.

 https://t.co/1Vx9ZRuQCt",Sat May 01 15:48:50 +0000 2021,32,523
38,Peter McCormack 🏴‍☠️🇬🇧🇮🇪,Once you own #bitcoin everything changes https://t.co/46NmUTEz7v,Sat May 01 10:56:20 +0000 2021,25,443
47,Peter McCormack 🏴‍☠️🇬🇧🇮🇪,"@elonmusk @XHNews Hates #bitcoin, loves communism. LMAO, GTFO of here.",Thu Jul 01 23:18:04 +0000 2021,125,2903
40,Peter McCormack 🏴‍☠️🇬🇧🇮🇪,#bitcoin to da moon savages,Sat May 01 06:52:49 +0000 2021,32,647
39,Peter McCormack 🏴‍☠️🇬🇧🇮🇪,"Don’t buy a car with #bitcoin, wait 4 years and that same bitcoin will buy you Tesla, Audi, VW, a private island, 72 virgins, a small army and all the biscuits you can eat.",Sat May 01 10:51:26 +0000 2021,299,3115
42,Peter McCormack 🏴‍☠️🇬🇧🇮🇪,@billmaher Using #Bitcoin can spread aids.,Sat May 01 15:28:35 +0000 2021,11,371
43,Peter McCormack 🏴‍☠️🇬🇧🇮🇪,"@DM2602 Don’t walk, stay still and buy more #bitcoin",Sat May 01 10:52:18 +0000 2021,0,28
44,Peter McCormack 🏴‍☠️🇬🇧🇮🇪,"I’ve already been told off twice because my mask slipped over my nose…but I’m allowed a coffee…

How the fek do I drink my coffee?",Sat May 01 08:35:13 +0000 2021,9,447
45,Peter McCormack 🏴‍☠️🇬🇧🇮🇪,@tim_bitcoin 2c is empty,Sat May 01 08:44:22 +0000 2021,0,0
41,Peter McCormack 🏴‍☠️🇬🇧🇮🇪,Multi week journey to get to Miami starts here. https://t.co/HshWQTOjfW,Sat May 01 08:21:27 +0000 2021,2,327
50,nic carter,all my homies are getting croissantpilled,Wed Sep 01 15:24:22 +0000 2021,11,364
54,nic carter,"For everyone darkly muttering about Russia and Bitcoin, I'll remind you that according to Chainalysis, Ukraine had the 4th-highest per-capita crypto adoption in the world in 2021

https://t.co/qsLxKWokTG https://t.co/TkKdVBmE5o",Tue Mar 01 15:34:59 +0000 2022,145,838
51,nic carter,"@KndisiOlmayan @LizAnnSonders @biancoresearch @glassnode It is different. It's functionally easy to withdraw assets from the system and self custody if needed. Not the case with USD or gold. 

https://t.co/4yxEtFtx2g",Mon Nov 01 18:34:30 +0000 2021,4,94
52,nic carter,@matthewstoller do you have any views that diverge materially with the platform of the Chinese Communist Party,Mon Nov 01 21:06:16 +0000 2021,37,1748
53,nic carter,@LizAnnSonders @biancoresearch @glassnode exactly the same as saying most of the dollars are held in commercial/central banks and are therefore poorly distributed,Mon Nov 01 18:12:00 +0000 2021,20,817
55,nic carter,"Bitcoin doesn't ""fix this"", obviously, but for individuals leaving in a hurry, the ability to store your life savings on a hardware wallet or a memorized 12 word seed phrase is genuinely transformative. Compare that to banks and ATMs – shut. Digital bearer assets matter.",Tue Mar 01 15:39:26 +0000 2022,63,544
46,nic carter,Sorry I was out of breath on the BMC call I was literally in the middle of a deadlift set and got called up on stage,Thu Jul 01 21:29:42 +0000 2021,4,378
57,nic carter,"@S_Mikhailovich Believing that you can arbitrarily exclude major powers from the dollar network and still retain the ability to wield sanctions in the future is pretty hubristic, imo",Tue Mar 01 23:06:44 +0000 2022,36,1167
58,nic carter,"As these absolutely tragic circumstances unfold, it is a fact that potentially millions of Ukrainians will be able to escape with a portion of their savings intact, and they were among one of the best positioned nations in the world to do so. That is inarguable.",Tue Mar 01 15:36:15 +0000 2022,31,425
59,nic carter,@IceCapGlobal @LukeGromen that's why they don't call me *puts on sunglasses* ordinary,Tue Mar 01 03:35:06 +0000 2022,1,276
60,nic carter,We urgently need more mathematicians as heads of state!,Sun May 01 18:34:53 +0000 2022,45,700
61,nic carter,"@kurtwuckertjr He has a gigantic yacht and a nice ass villa

And you shill BSV on the internet",Fri Jul 01 01:12:51 +0000 2022,1,305
49,nic carter,@lawmaster @michael_saylor Conference call literally hasn’t ended yet feel free to dial in an ask about the methodology,Thu Jul 01 21:19:20 +0000 2021,0,233
56,nic carter,@Jkylebass For a guy whose whole schtick is freedom you sure seem to disdain the concept,Tue Mar 01 14:38:00 +0000 2022,38,1824
1,nic carter,"Had a great conversation with @wolftivy of @palladiummag about Bitcoin’s effect on state power and how its success could well align with US interests 

https://t.co/ic0rY8vPqr",Fri May 01 18:22:23 +0000 2020,6,22
2,nic carter,"@CerealTable bank of canada found 5% BTC ownership in 2018. 
 
https://t.co/HGyjkYmXUR https://t.co/YYt5LTfko6",Wed Jul 01 02:44:26 +0000 2020,0,2
3,nic carter,"Last note. when people refer to a bitcoin GINI of 0.87 (""higher than north korea!""), they are usually referring to a dataset published by freaking Zhou Tong (remember him) from the Bitcoinica exchange... in 2011! 

https://t.co/uDJnm6WD5b",Wed Jul 01 02:36:14 +0000 2020,0,5
27,nic carter,Citi quoting Schopenhauer is an early highlight of 2021 for me,Mon Mar 01 15:29:47 +0000 2021,11,267
28,nic carter,"@jwsuth Yep pretty unforgivable, elevating a scammer to try to dunk on bitcoin, crosses the threshold into genuine evildoing at that point",Mon Mar 01 19:10:59 +0000 2021,0,23
29,nic carter,"@ynschj @jayshung It was clearly a data error but yeah, bitcoin does less illicit activity both in relative and absolute terms than banks/ the dollar and yes I can back that up",Mon Mar 01 23:49:15 +0000 2021,0,5
30,nic carter,@BitcoinAndCows @krakenfx @coinbase @binance @CashApp @CelsiusNetwork @BlockFi Great question and I’m doing all I can to change that. Bitcoin is cryptographically auditable - custodians need to take advantage of that.,Mon Mar 01 15:36:26 +0000 2021,0,7
31,nic carter,you can tell the report is good because it made alphaville really mad,Mon Mar 01 17:59:04 +0000 2021,22,334
32,nic carter,@OJRenick @AriDavidPaul bitcoin is a glamorous asset. people will start to understand this in time.,Mon Mar 01 16:24:30 +0000 2021,0,0
33,nic carter,"my quick reaction to bill maher's claim that bitcoin will warm the climate by 2ºc (it won't) 

https://t.co/CtOi5mwX19",Sat May 01 22:07:34 +0000 2021,131,960
34,nic carter,If the feeble attempted owns on bitcoin by washed up tv pundits ever stop I’ll start to worry,Sat May 01 14:02:43 +0000 2021,23,552
35,nic carter,Bitcoin is counter culture - long may it stay that way,Sat May 01 14:03:32 +0000 2021,23,334
36,nic carter,"Calling your pals on the phone to hang out in the 90s involved less computation than looking at TikTok alone, hence the dollar hasn’t depreciated as much as you think

This is what economists actually believe",Sat May 01 13:55:21 +0000 2021,10,263
37,nic carter,"Absolutely brutalized by the fact that because the glowing stress cube contains 10^10 times more transistors than a rotary phone, economists think that the value of money has increased",Sat May 01 13:21:30 +0000 2021,33,433
38,nic carter,"@billmaher quick explanation of why that ""two degrees celcius"" claim is questionable

https://t.co/CtOi5mwX19",Sat May 01 22:18:24 +0000 2021,22,414
